NID,CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,LATITUDE,LONGITUDE,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
100009143,10000954,1/3/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,9/10/2010 7:10,1700 B/O MISSISSIPPI AVE SE,38.84338223,-76.97831575,WASHINGTON,DC,8,8B,8B07,SEVENTH,704,38,NONE,NONE,NONE,NONE
100009144,10004366,1/10/2010 0:00,EVN,HOMICIDE,GUN,9/10/2010 7:10,2600 B/O NAYLOR RD SE,38.86252601,-76.96975323,WASHINGTON,DC,8,8B,8B01,SIXTH,606,35,NONE,NONE,NONE,NONE
100009145,10005224,1/12/2010 0:00,EVN,HOMICIDE,GUN,9/10/2010 7:10,4700 B/O ALABAMA AVE SE,38.88098148,-76.93926874,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
100009146,10005583,1/13/2010 0:00,DAY,HOMICIDE,GUN,9/10/2010 7:10,1200 B/O EATON RD SE,38.85946075,-76.99814156,WASHINGTON,DC,8,8C,8C01,SEVENTH,703,37,NONE,NONE,NONE,NONE
100009147,10005697,1/13/2010 0:00,EVN,HOMICIDE,GUN,9/10/2010 7:10,5400 B/O BLAINE ST NE,38.89141524,-76.92336835,WASHINGTON,DC,7,7C,7C02,SIXTH,602,31,NONE,NONE,NONE,NONE
100009148,10008928,1/20/2010 0:00,DAY,HOMICIDE,GUN,9/14/2010 7:02,1300 B/O EASTERN AVE NE,38.90792931,-76.92866137,WASHINGTON,DC,7,7C,7C07,SIXTH,602,31,NONE,NONE,NONE,NONE
100009149,4172632,1/21/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,9/14/2010 7:02,14TH ST NE & HAMLIN ST NE,38.92783542,-76.98596944,WASHINGTON,DC,5,5B,5B04,FIFTH,502,22,NONE,NONE,NONE,NONE
100009150,10012529,1/27/2010 0:00,EVN,HOMICIDE,GUN,9/14/2010 7:02,800 B/O BARNABY ST SE,38.83077767,-76.99291243,WASHINGTON,DC,8,8E,8.00E+07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009151,10014232,2/1/2010 0:00,MID,HOMICIDE,GUN,9/14/2010 7:02,1300 B/O STEVENS RD SE,38.8585428,-76.99855981,WASHINGTON,DC,8,8C,8C01,SEVENTH,703,37,NONE,NONE,NONE,NONE
100009153,10019540,2/15/2010 0:00,MID,HOMICIDE,GUN,9/14/2010 7:02,900 B/O 48TH ST NE,38.9021918,-76.93375804,WASHINGTON,DC,7,7C,7C04,SIXTH,602,31,NONE,NONE,NONE,NONE
100009154,10015162,2/12/2010 0:00,DAY,HOMICIDE,BLUNT FORCE TRAUMA,9/14/2010 7:02,700 B/O 21ST ST NE,38.89946056,-76.974139,WASHINGTON,DC,5,5B,5B12,FIFTH,504,23,NONE,NONE,NONE,NONE
100009155,10022431,2/21/2010 0:00,EVN,HOMICIDE,GUN,9/16/2010 7:10,600 B/O JEFFERSON ST NW,38.95529767,-77.02149369,WASHINGTON,DC,4,4D,4D04,FOURTH,403,18,NONE,NONE,NONE,NONE
100009156,10025357,2/27/2010 0:00,EVN,HOMICIDE,GUN,9/16/2010 7:10,300 B/O PARKLAND PL SE,38.84467773,-76.99987257,WASHINGTON,DC,8,8C,8C03,SEVENTH,705,39,NONE,NONE,NONE,NONE
100009157,10029812,3/9/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,9/16/2010 7:10,3500 B/O 14TH ST NW,38.935212,-77.03272625,WASHINGTON,DC,1,1A,1A04,THIRD,302,2,NONE,NONE,NONE,NONE
100009158,10030796,3/10/2010 0:00,EVN,HOMICIDE,GUN,9/16/2010 7:10,UNIT B/O HAWAII AVE NE,38.94590562,-77.00688446,WASHINGTON,DC,5,5C,5C12,FOURTH,405,19,NONE,NONE,NONE,NONE
100009159,10033359,3/16/2010 0:00,MID,HOMICIDE,GUN,9/17/2010 7:10,2700 B/O LANGSTON PL SE,38.85612817,-76.97258661,WASHINGTON,DC,8,8B,8B03,SEVENTH,702,36,NONE,NONE,NONE,NONE
100009160,10036596,3/22/2010 0:00,MID,HOMICIDE,GUN,9/17/2010 7:10,1300 B/O ALABAMA AVE SE,38.84502131,-76.98689332,WASHINGTON,DC,8,8E,8.00E+02,SEVENTH,705,38,NONE,NONE,NONE,NONE
100009161,10039457,3/27/2010 0:00,MID,HOMICIDE,GUN,4/1/2010 7:15,1200 B/O W ST NE,38.91916436,-76.98801683,WASHINGTON,DC,5,5B,5B03,FIFTH,505,22,NONE,NONE,NONE,NONE
100009162,10039499,3/27/2010 0:00,MID,HOMICIDE,GUN,9/17/2010 7:10,1200 B/O SOUTHERN AVE SE,38.83363217,-76.98537496,WASHINGTON,DC,8,8E,8.00E+04,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009163,10041270,3/30/2010 0:00,EVN,HOMICIDE,GUN,4/1/2010 7:15,4000 B/O SOUTH CAPITOL ST,38.83048485,-77.00767376,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009164,10041270,3/30/2010 0:00,EVN,HOMICIDE,GUN,4/1/2010 7:15,4000 B/O SOUTH CAPITOL ST,38.83048485,-77.00767376,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009165,10041270,3/30/2010 0:00,EVN,HOMICIDE,GUN,4/1/2010 7:15,4000 B/O SOUTH CAPITOL ST,38.83048485,-77.00767376,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009166,10041269,3/30/2010 0:00,EVN,HOMICIDE,GUN,4/1/2010 7:15,UNIT B/O GALVESTON ST SW,38.82370688,-77.00762236,WASHINGTON,DC,8,8D,8D05,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009167,,4/3/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,4/5/2010 7:24,UNIT B/O FORRESTER ST SW,38.82518875,-77.00800946,WASHINGTON,DC,8,8D,8D04,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009168,9160222,4/6/2010 0:00,EVN,HOMICIDE,GUN,4/8/2010 7:13,2400 B/O 11TH ST NW,38.92240274,-77.02703634,WASHINGTON,DC,1,1B,1B03,THIRD,304,2,NONE,NONE,NONE,NONE
100009169,10046971,4/10/2010 0:00,MID,HOMICIDE,GUN,4/13/2010 7:02,600 B/O 46TH PL SE,38.88108575,-76.93553486,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
100009170,10047513,4/11/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,4/13/2010 7:02,3000 B/O 30TH ST SE,38.85298766,-76.96565363,WASHINGTON,DC,8,8B,8B02,SEVENTH,702,36,NONE,NONE,NONE,NONE
100009171,10049313,4/14/2010 0:00,EVN,HOMICIDE,KNIFE/CUTTING INSTR,4/15/2010 7:02,3000 B/O STANTON RD SE,38.85391414,-76.98446427,WASHINGTON,DC,8,8B,8B04,SEVENTH,704,38,NONE,NONE,NONE,NONE
100009173,10058766,5/1/2010 0:00,MID,HOMICIDE,GUN,5/24/2010 7:03,500 B/O EDGEWOOD ST NE,38.92371559,-76.9989996,WASHINGTON,DC,5,5C,5C08,FIFTH,501,21,NONE,NONE,NONE,NONE
100009175,10062966,5/9/2010 0:00,DAY,HOMICIDE,GUN,5/24/2010 7:03,200 B/O NEWCOMB ST SE,38.84851095,-77.00377391,WASHINGTON,DC,8,8C,8C02,SEVENTH,705,39,NONE,NONE,NONE,NONE
100009176,,5/12/2010 0:00,EVN,HOMICIDE,GUN,5/24/2010 7:03,4700 B/O JAY ST NE,38.90148406,-76.93422848,WASHINGTON,DC,7,7C,7C04,SIXTH,602,31,NONE,NONE,NONE,NONE
100009177,,4/29/2010 0:00,DAY,HOMICIDE,BLUNT FORCE TRAUMA,5/24/2010 7:03,600 B/O PARKSIDE PL NE,38.89925571,-76.95062757,WASHINGTON,DC,7,7D,7D07,SIXTH,601,30,NONE,NONE,NONE,NONE
100009178,,5/13/2010 0:00,EVN,HOMICIDE,GUN,5/24/2010 7:03,UNIT B/O L PL NW,38.90452819,-77.01072334,WASHINGTON,DC,6,6C,6C03,FIRST,101,8,SURSUM CORDA,SURSUM CORDA,SURSUM CORDA,NONE
100009179,10066650,5/16/2010 0:00,MID,HOMICIDE,GUN,5/24/2010 7:03,5000 B/O D ST SE,38.88380876,-76.92982148,WASHINGTON,DC,7,7E,7.00E+05,SIXTH,604,33,NONE,NONE,NONE,NONE
100009180,10069111,5/20/2010 0:00,EVN,HOMICIDE,KNIFE/CUTTING INSTR,5/24/2010 7:03,4200 B/O 4TH ST SE,38.82730692,-77.00053436,WASHINGTON,DC,8,8D,8D02,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009181,,5/28/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,5/31/2010 7:02,1900 B/O 9TH ST NW,38.91628056,-77.02396646,WASHINGTON,DC,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
100009182,,5/27/2010 0:00,DAY,HOMICIDE,KNIFE/CUTTING INSTR,6/1/2010 7:26,1600 B/O V ST SE,38.86425379,-76.98124222,WASHINGTON,DC,8,8A,8A04,SEVENTH,701,28,NONE,NONE,NONE,NONE
100009183,10073452,5/28/2010 0:00,EVN,HOMICIDE,GUN,6/1/2010 7:26,4600 B/O HILLSIDE RD SE,38.87648124,-76.93262119,WASHINGTON,DC,7,7E,7.00E+01,SIXTH,604,33,NONE,NONE,NONE,NONE
100009184,10074829,5/31/2010 0:00,MID,HOMICIDE,GUN,6/10/2010 7:01,800 B/O CRITTENDEN ST NW,38.94725284,-77.02446426,WASHINGTON,DC,4,4D,4D06,FOURTH,404,18,NONE,NONE,NONE,NONE
100009186,,5/30/2010 0:00,MID,HOMICIDE,GUN,6/10/2010 7:01,100 B/O 53RD ST SE,38.88668302,-76.92567662,WASHINGTON,DC,7,7E,7.00E+06,SIXTH,604,33,NONE,NONE,NONE,NONE
100009187,10074775,6/3/2010 0:00,EVN,HOMICIDE,GUN,6/10/2010 7:01,600 B/O 46TH PL SE,38.88108575,-76.93553486,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
100009188,10077641,6/5/2010 0:00,MID,HOMICIDE,GUN,6/10/2010 7:01,1600 B/O W ST SE,38.8630282,-76.9802682,WASHINGTON,DC,8,8A,8A04,SEVENTH,701,28,NONE,NONE,NONE,NONE
100009189,10079054,6/7/2010 0:00,EVN,HOMICIDE,KNIFE/CUTTING INSTR,6/10/2010 7:01,1200 B/O SIMMS PL NE,38.90903823,-76.98398927,WASHINGTON,DC,5,5B,5B05,FIFTH,504,23,NONE,NONE,NONE,NONE
100009190,10079523,6/8/2010 0:00,EVN,HOMICIDE,GUN,6/10/2010 7:01,3400 B/O MINNESOTA AVE SE,38.88491405,-76.95660553,WASHINGTON,DC,7,7A,7A03,SIXTH,603,32,NONE,NONE,NONE,NONE
100009191,,6/8/2010 0:00,DAY,HOMICIDE,BLUNT FORCE TRAUMA,7/22/2010 7:15,1300 B/O CLIFTON ST NW,38.92242952,-77.03085735,WASHINGTON,DC,1,1B,1B03,THIRD,304,2,NONE,NONE,NONE,NONE
100009192,,6/9/2010 0:00,UNK,HOMICIDE,BLUNT FORCE TRAUMA,6/10/2010 7:01,BLADENSBURG RD NE & LEVIS ST NE,38.90398605,-76.98086151,WASHINGTON,DC,5,5B,5B08,FIFTH,504,23,NONE,NONE,NONE,NONE
100009193,10083042,6/14/2010 0:00,EVN,HOMICIDE,GUN,6/15/2010 7:03,2600 B/O BIRNEY PL SE,38.85760228,-76.99679131,WASHINGTON,DC,8,8C,8C02,SEVENTH,703,37,NONE,NONE,NONE,NONE
100009194,10084469,6/17/2010 0:00,DAY,HOMICIDE,GUN,6/21/2010 9:38,2300 B/O BENNING RD NE,38.89823102,-76.97261978,WASHINGTON,DC,5,5B,5B12,FIFTH,504,23,NONE,NONE,NONE,NONE
100009195,10048486,6/17/2010 0:00,DAY,HOMICIDE,GUN,6/21/2010 9:38,2100 B/O 3RD ST NE,38.91860884,-77.0019972,WASHINGTON,DC,5,5C,5C05,FIFTH,501,21,NONE,NONE,NONE,NONE
100009196,10085408,6/19/2010 0:00,EVN,HOMICIDE,GUN,7/22/2010 7:15,800 B/O YUMA ST SE,38.83203802,-76.9928784,WASHINGTON,DC,8,8E,8.00E+07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009197,10085458,6/19/2010 0:00,MID,HOMICIDE,GUN,7/22/2010 7:15,5900 B/O GEORGIA AVE NW,38.96206405,-77.02794307,WASHINGTON,DC,4,4A,4A06,FOURTH,402,17,NONE,NONE,NONE,NONE
100009198,10085781,6/19/2010 0:00,EVN,HOMICIDE,BLUNT FORCE TRAUMA,6/23/2010 7:16,14TH ST NW & PERRY PL NW,38.93626399,-77.03273135,WASHINGTON,DC,1,1A,1A01,THIRD,302,2,NONE,NONE,NONE,NONE
100009199,10087858,6/23/2010 0:00,EVN,HOMICIDE,GUN,6/24/2010 7:19,1200 B/O 5TH ST NE,38.90617904,-76.99950172,WASHINGTON,DC,5,5B,5B06,FIFTH,504,23,NONE,NONE,NONE,NONE
100009200,10087858,6/23/2010 0:00,EVN,HOMICIDE,GUN,6/24/2010 7:19,1200 B/O 5TH ST NE,38.90617904,-76.99950172,WASHINGTON,DC,5,5B,5B06,FIFTH,504,23,NONE,NONE,NONE,NONE
100009201,10089356,6/26/2010 0:00,MID,HOMICIDE,GUN,7/22/2010 7:15,800 B/O 21ST ST NE,38.90149128,-76.97417631,WASHINGTON,DC,5,5B,5B12,FIFTH,504,23,NONE,NONE,NONE,NONE
100009202,10089364,6/26/2010 0:00,MID,HOMICIDE,GUN,7/22/2010 7:15,1200 B/O 19TH ST NE,38.90595239,-76.97621355,WASHINGTON,DC,5,5B,5B10,FIFTH,504,23,NONE,NONE,NONE,NONE
100009203,10089928,6/27/2010 0:00,MID,HOMICIDE,GUN,7/22/2010 7:15,UNIT B/O GALVESTON ST SW,38.82370688,-77.00762236,WASHINGTON,DC,8,8D,8D04,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009204,10090009,6/27/2010 0:00,DAY,HOMICIDE,GUN,7/22/2010 7:15,1500 B/O KENILWORTH AVE NE,38.91089426,-76.93537115,WASHINGTON,DC,7,7D,7D03,SIXTH,601,29,NONE,NONE,NONE,NONE
100009205,10093546,7/3/2010 0:00,EVN,HOMICIDE,GUN,7/22/2010 7:15,3000 B/O NELSON PL SE,38.87520924,-76.96419399,WASHINGTON,DC,7,7B,7B04,SIXTH,605,34,NONE,NONE,NONE,NONE
100009206,10093305,7/4/2010 0:00,MID,HOMICIDE,GUN,7/22/2010 7:15,6100 B/O BANKS PL NE,38.89196803,-76.91297985,WASHINGTON,DC,7,7C,7C05,SIXTH,602,31,NONE,NONE,NONE,NONE
100009207,10097617,7/10/2010 0:00,EVN,HOMICIDE,GUN,7/13/2010 8:54,3000 B/O 11TH ST NW,38.92821851,-77.02739101,WASHINGTON,DC,1,1A,1A11,THIRD,302,2,NONE,NONE,NONE,NONE
100009209,,7/9/2010 0:00,MID,HOMICIDE,GUN,7/13/2010 8:54,3500 B/O 19TH ST SE,38.84447483,-76.97639494,WASHINGTON,DC,8,8B,8B07,SEVENTH,704,38,NONE,NONE,NONE,NONE
100009210,10098308,7/12/2010 0:00,DAY,HOMICIDE,GUN,7/22/2010 7:15,200 B/O 51ST ST NE,38.89283966,-76.92906607,WASHINGTON,DC,7,7C,7C03,SIXTH,602,31,NONE,NONE,50TH ST NE,NONE
100009211,10099822,7/15/2010 0:00,EVN,HOMICIDE,GUN,7/22/2010 7:15,6200 B/O BANKS PL NE,38.89196654,-76.91159562,WASHINGTON,DC,7,7C,7C05,SIXTH,602,31,NONE,NONE,NONE,NONE
100009212,10101685,7/18/2010 0:00,MID,HOMICIDE,GUN,7/22/2010 7:15,UNIT B/O 58TH ST SE,38.89715617,-76.91763088,WASHINGTON,DC,7,7E,7.00E+07,SIXTH,604,33,NONE,NONE,NONE,NONE
100009213,10102745,7/19/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,7/22/2010 7:15,1600 B/O E ST NE,38.89611509,-76.98146295,WASHINGTON,DC,6,6A,6A07,FIRST,103,25,NONE,NONE,NONE,NONE
100009215,10089913,7/19/2010 0:00,MID,HOMICIDE,GUN,7/22/2010 7:15,2500 B/O 17TH ST NW,38.92391556,-77.0390389,WASHINGTON,DC,1,1C,1C06,THIRD,303,1,COLUMBIA RD NW & EUCLID ST NW,COLUMBIA RD NW & EUCLID ST NW,NONE,NONE
100009216,,7/27/2010 0:00,EVN,HOMICIDE,BLUNT FORCE TRAUMA,8/9/2010 7:09,1600 B/O V ST SE,38.86425379,-76.98124222,WASHINGTON,DC,8,8A,8A04,SEVENTH,701,28,NONE,NONE,NONE,NONE
100009217,10111580,8/7/2010 0:00,MID,HOMICIDE,GUN,8/19/2010 9:18,1300 B/O GOOD HOPE RD SE,38.866918,-76.98608155,WASHINGTON,DC,8,8A,8A03,SIXTH,607,34,NONE,NONE,NONE,NONE
100009218,10114064,8/9/2010 0:00,EVN,HOMICIDE,KNIFE/CUTTING INSTR,8/31/2010 7:01,1100 B/O 10TH ST NW,38.90490808,-77.02598633,WASHINGTON,DC,2,2C,2C03,THIRD,307,8,NONE,NONE,NONE,NONE
100009219,10115168,8/11/2010 0:00,EVN,HOMICIDE,GUN,8/31/2010 7:01,2600 B/O MOZART PL NW,38.92518118,-77.03787988,WASHINGTON,DC,1,1C,1C06,THIRD,303,1,NONE,NONE,NONE,NONE
100009220,10118541,8/18/2010 0:00,MID,HOMICIDE,GUN,8/19/2010 9:18,2200 B/O FAIRLAWN AVE SE,38.87442357,-76.97412618,WASHINGTON,DC,8,8A,8A01,SIXTH,607,34,NONE,NONE,NONE,NONE
100009221,10120824,8/22/2010 0:00,MID,HOMICIDE,GUN,8/31/2010 7:01,UNIT B/O SHERMAN CIR NW,38.94734005,-77.02191269,WASHINGTON,DC,4,4C,4C09,FOURTH,404,18,NONE,NONE,NONE,NONE
100009222,10121164,8/22/2010 0:00,EVN,HOMICIDE,GUN,8/31/2010 7:01,4200 B/O SOUTH CAPITOL ST,38.82807419,-77.0076781,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009223,10124041,8/27/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,8/30/2010 7:01,4300 B/O WHEELER RD SE,38.92246378,-76.98781201,WASHINGTON,DC,8,8E,8.00E+04,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009224,10125573,8/30/2010 0:00,MID,HOMICIDE,GUN,8/31/2010 7:01,4400 B/O F ST SE,38.88181782,-76.93786554,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
100009225,10125561,8/30/2010 0:00,EVN,HOMICIDE,GUN,8/31/2010 7:01,4300 B/O WHEELER RD SE,38.92246378,-76.98781201,WASHINGTON,DC,8,8E,8.00E+07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009226,,8/31/2010 0:00,EVN,HOMICIDE,KNIFE/CUTTING INSTR,9/9/2010 7:15,1700 B/O GOOD HOPE RD SE,38.86587358,-76.98016875,WASHINGTON,DC,7,7B,7B01,SIXTH,607,34,NONE,NONE,NONE,NONE
100009227,,8/31/2010 0:00,MID,HOMICIDE,BLUNT FORCE TRAUMA,9/9/2010 7:15,,0,0,WASHINGTON,DC,8,8A,8A02,SIXTH,607,34,NONE,NONE,NONE,NONE
100009228,6098962,8/31/2010 0:00,MID,HOMICIDE,GUN,9/9/2010 7:15,100 B/O 34TH ST SE,38.88818892,-76.95747838,WASHINGTON,DC,7,7A,7A03,SIXTH,603,32,NONE,NONE,NONE,NONE
100009229,10132220,9/12/2010 0:00,MID,HOMICIDE,GUN,10/1/2010 7:01,2400 B/O HARTFORD ST SE,38.85408108,-76.97159092,WASHINGTON,DC,8,8B,8B03,SEVENTH,702,36,NONE,NONE,NONE,NONE
100009230,10132647,9/13/2010 0:00,MID,HOMICIDE,GUN,9/14/2010 7:02,3500 B/O CROFFUT PL SE,38.88680194,-76.9549331,WASHINGTON,DC,7,7A,7A03,SIXTH,603,32,NONE,NONE,NONE,NONE
100009231,10133557,9/14/2010 0:00,EVN,HOMICIDE,GUN,9/30/2010 7:13,4600 B/O A ST SE,38.88852862,-76.9344778,WASHINGTON,DC,7,7E,7.00E+04,SIXTH,604,33,NONE,NONE,NONE,NONE
100009232,10133695,9/14/2010 0:00,MID,HOMICIDE,UNKNOWN,9/16/2010 7:10,5300 B/O CLAY TER NE,38.89380834,-76.92418529,WASHINGTON,DC,7,7C,7C02,SIXTH,602,31,NONE,NONE,CLAY TER NE,NONE
100009233,7151899,9/14/2010 0:00,EVN,HOMICIDE,OTHER,9/15/2010 7:02,2300 B/O WISCONSIN AVE NW,38.92151209,-77.07228412,WASHINGTON,DC,3,3B,3B02,SECOND,204,14,NONE,NONE,NONE,NONE
100009234,10135512,9/18/2010 0:00,MID,HOMICIDE,GUN,9/20/2010 9:33,2700 B/O BRUCE PL SE,38.85730474,-76.97437916,WASHINGTON,DC,8,8B,8B03,SEVENTH,702,36,NONE,NONE,NONE,NONE
100009235,10136975,9/21/2010 0:00,MID,HOMICIDE,GUN,9/30/2010 7:13,1400 B/O 1ST ST SW,38.87249862,-77.0121716,WASHINGTON,DC,6,6D,6D06,FIRST,104,9,NONE,NONE,NONE,NONE
100009236,10137396,9/21/2010 0:00,EVN,HOMICIDE,GUN,9/30/2010 7:13,900 B/O SOUTHERN AVE SE,38.83151057,-76.9881362,WASHINGTON,DC,8,8E,8.00E+07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009237,10139266,9/25/2010 0:00,MID,HOMICIDE,GUN,9/30/2010 7:13,ALLISON ST NW & GEORGIA AVE NW,38.94506067,-77.02633665,,,4,4C,4C07,FOURTH,404,18,NONE,NONE,NONE,NONE
100009238,10139337,9/25/2010 0:00,MID,HOMICIDE,GUN,10/1/2010 7:01,3700 B/O 1ST ST SE,38.83612425,-77.00585454,WASHINGTON,DC,8,8C,8C07,SEVENTH,705,39,NONE,NONE,NONE,NONE
100009239,10139555,9/25/2010 0:00,EVN,HOMICIDE,GUN,9/30/2010 7:13,800 B/O SOUTHERN AVE SE,38.82813995,-76.99239905,WASHINGTON,DC,8,8D,8D01,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009240,10140994,9/28/2010 0:00,DAY,HOMICIDE,GUN,9/30/2010 7:13,13TH ST NW & U ST NW,38.91699928,-77.02962137,WASHINGTON,DC,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
100009241,10141805,9/29/2010 0:00,EVN,HOMICIDE,GUN,10/4/2010 7:24,3500 B/O 22ND ST SE,38.84543146,-76.97276818,WASHINGTON,DC,8,8B,8B06,SEVENTH,704,38,NONE,NONE,NONE,NONE
100009242,10141805,9/30/2010 0:00,EVN,HOMICIDE,GUN,10/4/2010 7:24,3500 B/O 22ND ST SE,38.84543146,-76.97276818,WASHINGTON,DC,8,8B,8B06,SEVENTH,704,38,NONE,NONE,NONE,NONE
100009243,10142991,10/2/2010 0:00,MID,HOMICIDE,GUN,10/4/2010 7:24,5300 B/O DIX ST NE,38.89492259,-76.92366227,WASHINGTON,DC,7,7C,7C02,SIXTH,602,31,NONE,NONE,CLAY TER NE,NONE
100009244,10142995,10/2/2010 0:00,MID,HOMICIDE,GUN,10/4/2010 7:24,1100 B/O 1ST PL NW,38.90508731,-77.01026695,WASHINGTON,DC,6,6C,6C03,FIRST,101,8,NONE,NONE,SURSUM CORDA,NONE
100009245,10143608,10/3/2010 0:00,MID,HOMICIDE,GUN,10/4/2010 7:24,600 B/O HARVARD ST NW,38.92737635,-77.02220952,WASHINGTON,DC,1,1B,1B10,THIRD,302,2,NONE,NONE,NONE,NONE
